Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.053601096662873e+000,-3.774758283725532e-015,1.053601096662873e+000
2.564102564102564e-002,1.070494720902547e+000,6.013127773485394e-010,1.070494720902547e+000
5.128205128205128e-002,1.086311841944856e+000,6.013869402465844e-010,1.086311841944856e+000
7.692307692307693e-002,1.101071341917383e+000,6.013862741127696e-010,1.101071341917383e+000
1.025641025641026e-001,1.114792046791368e+000,6.013867182019794e-010,1.114792046791368e+000
1.282051282051282e-001,1.127492749989339e+000,6.013873843357942e-010,1.127492749989339e+000
1.538461538461538e-001,1.139192234284039e+000,6.013869402465844e-010,1.139192234284039e+000
1.794871794871795e-001,1.149909292208995e+000,6.013864961573745e-010,1.149909292208995e+000
2.051282051282051e-001,1.159662745087475e+000,6.013869402465844e-010,1.159662745087475e+000
2.307692307692307e-001,1.168471460803903e+000,6.013869402465844e-010,1.168471460803903e+000
2.564102564102564e-001,1.176354370389046e+000,6.013871622911893e-010,1.176354370389046e+000
2.820512820512821e-001,1.183330483803084e+000,6.013864961573745e-010,1.183330483803084e+000
3.076923076923077e-001,1.189418904385171e+000,6.013862741127696e-010,1.189418904385171e+000
3.333333333333334e-001,1.194638842768705e+000,6.013862741127696e-010,1.194638842768705e+000
3.589743589743590e-001,1.199009629978590e+000,6.013858300235597e-010,1.199009629978590e+000
3.846153846153847e-001,1.202550729918430e+000,6.013864961573745e-010,1.202550729918430e+000
4.102564102564104e-001,1.205281751337604e+000,6.013864961573745e-010,1.205281751337604e+000
4.358974358974360e-001,1.207222459388618e+000,6.013864961573745e-010,1.207222459388618e+000
4.615384615384617e-001,1.208392786933736e+000,6.013869402465844e-010,1.208392786933736e+000
4.871794871794873e-001,1.208812845496116e+000,6.013871622911893e-010,1.208812845496116e+000
5.128205128205130e-001,1.208502936360045e+000,6.013871622911893e-010,1.208502936360045e+000
5.384615384615387e-001,1.207483561676323e+000,6.013862741127696e-010,1.207483561676323e+000
5.641025641025643e-001,1.205775507271471e+000,6.013862741127696e-010,1.205775507271471e+000
5.897435897435900e-001,1.203399571233667e+000,6.013871622911893e-010,1.203399571233667e+000
6.153846153846156e-001,1.200376995761993e+000,6.013873843357942e-010,1.200376995761993e+000
6.410256410256413e-001,1.196729203802253e+000,6.013873843357942e-010,1.196729203802253e+000
6.666666666666670e-001,1.192477880979778e+000,6.013867182019794e-010,1.192477880979778e+000
6.923076923076926e-001,1.187644990532335e+000,6.013867182019794e-010,1.187644990532335e+000
7.179487179487183e-001,1.182252789623552e+000,6.013864961573745e-010,1.182252789623552e+000
7.435897435897440e-001,1.176323847317691e+000,6.013864961573745e-010,1.176323847317691e+000
7.692307692307696e-001,1.169881071198247e+000,6.013860520681646e-010,1.169881071198247e+000
7.948717948717953e-001,1.162947717894705e+000,6.013864961573745e-010,1.162947717894705e+000
8.205128205128209e-001,1.155547416429092e+000,6.013869402465844e-010,1.155547416429092e+000
8.461538461538466e-001,1.147704207205883e+000,6.013878284250041e-010,1.147704207205883e+000
8.717948717948723e-001,1.139442571930385e+000,6.013864961573745e-010,1.139442571930385e+000
8.974358974358979e-001,1.130787468160853e+000,6.013869402465844e-010,1.130787468160853e+000
9.230769230769236e-001,1.121764370679467e+000,6.013864961573745e-010,1.121764370679467e+000
9.487179487179492e-001,1.112399083741870e+000,6.013860520681646e-010,1.112399083741870e+000
9.743589743589749e-001,1.102718711958242e+000,6.013864961573745e-010,1.102718711958242e+000
1.000000000000000e+000,1.092750387997537e+000,6.013856079789548e-010,1.092750387997537e+000
