Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
  0.000000000000000e+00,  1.053601170883158e+00, -1.850052688823212e-08,  1.053601170883158e+00
  2.564102564102564e-02,  1.070494720903105e+00,  6.011706688013874e-10,  1.070494720903105e+00
  5.128205128205128e-02,  1.086311841944856e+00,  6.013864961573745e-10,  1.086311841944856e+00
  7.692307692307693e-02,  1.101071341917384e+00,  6.013869402465843e-10,  1.101071341917384e+00
  1.025641025641026e-01,  1.114792046791366e+00,  6.013867182019794e-10,  1.114792046791366e+00
  1.282051282051282e-01,  1.127492749989340e+00,  6.013864961573745e-10,  1.127492749989340e+00
  1.538461538461539e-01,  1.139192234284042e+00,  6.013867182019794e-10,  1.139192234284042e+00
  1.794871794871795e-01,  1.149909292208995e+00,  6.013869402465843e-10,  1.149909292208995e+00
  2.051282051282051e-01,  1.159662745087475e+00,  6.013867182019794e-10,  1.159662745087475e+00
  2.307692307692308e-01,  1.168471460803905e+00,  6.013869402465843e-10,  1.168471460803905e+00
  2.564102564102564e-01,  1.176354370389048e+00,  6.013867182019794e-10,  1.176354370389048e+00
  2.820512820512820e-01,  1.183330483803081e+00,  6.013864961573745e-10,  1.183330483803081e+00
  3.076923076923077e-01,  1.189418904385172e+00,  6.013867182019794e-10,  1.189418904385172e+00
  3.333333333333333e-01,  1.194638842768705e+00,  6.013862741127696e-10,  1.194638842768705e+00
  3.589743589743590e-01,  1.199009629978590e+00,  6.013867182019794e-10,  1.199009629978590e+00
  3.846153846153846e-01,  1.202550729918431e+00,  6.013864961573745e-10,  1.202550729918431e+00
  4.102564102564102e-01,  1.205281751337603e+00,  6.013867182019794e-10,  1.205281751337603e+00
  4.358974358974359e-01,  1.207222459388616e+00,  6.013869402465843e-10,  1.207222459388616e+00
  4.615384615384616e-01,  1.208392786933735e+00,  6.013867182019794e-10,  1.208392786933735e+00
  4.871794871794872e-01,  1.208812845496120e+00,  6.013864961573745e-10,  1.208812845496120e+00
  5.128205128205128e-01,  1.208502936360045e+00,  6.013869402465843e-10,  1.208502936360045e+00
  5.384615384615384e-01,  1.207483561676327e+00,  6.013871622911893e-10,  1.207483561676327e+00
  5.641025641025641e-01,  1.205775507271473e+00,  6.013864961573745e-10,  1.205775507271473e+00
  5.897435897435898e-01,  1.203399571233664e+00,  6.013864961573745e-10,  1.203399571233664e+00
  6.153846153846154e-01,  1.200376995761991e+00,  6.013871622911893e-10,  1.200376995761991e+00
  6.410256410256411e-01,  1.196729203802257e+00,  6.013867182019794e-10,  1.196729203802257e+00
  6.666666666666666e-01,  1.192477880979782e+00,  6.013862741127696e-10,  1.192477880979782e+00
  6.923076923076923e-01,  1.187644990532333e+00,  6.013869402465843e-10,  1.187644990532333e+00
  7.179487179487180e-01,  1.182252789623551e+00,  6.013860520681646e-10,  1.182252789623551e+00
  7.435897435897436e-01,  1.176323847317692e+00,  6.013864961573745e-10,  1.176323847317692e+00
  7.692307692307693e-01,  1.169881071198247e+00,  6.013864961573745e-10,  1.169881071198247e+00
  7.948717948717948e-01,  1.162947717894708e+00,  6.013869402465843e-10,  1.162947717894708e+00
  8.205128205128205e-01,  1.155547416429092e+00,  6.013864961573745e-10,  1.155547416429092e+00
  8.461538461538461e-01,  1.147704207205885e+00,  6.013864961573745e-10,  1.147704207205885e+00
  8.717948717948718e-01,  1.139442571930384e+00,  6.013869402465843e-10,  1.139442571930384e+00
  8.974358974358975e-01,  1.130787468160852e+00,  6.013864961573745e-10,  1.130787468160852e+00
  9.230769230769231e-01,  1.121764370679466e+00,  6.013869402465843e-10,  1.121764370679466e+00
  9.487179487179487e-01,  1.112399083741872e+00,  6.013869402465843e-10,  1.112399083741872e+00
  9.743589743589743e-01,  1.102718711958242e+00,  6.013869402465843e-10,  1.102718711958242e+00
  1.000000000000000e+00,  1.092750387997542e+00,  6.013869402465843e-10,  1.092750387997542e+00
