Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.082717097548152e+000,-3.774758283725532e-015,1.082717097548152e+000
1.694915254237288e-002,1.094583440068554e+000,7.590172934612838e-011,1.094583440068554e+000
3.389830508474576e-002,1.105962701507395e+000,7.590594819362195e-011,1.105962701507395e+000
5.084745762711865e-002,1.116860556992934e+000,7.590617023822688e-011,1.116860556992934e+000
6.779661016949153e-002,1.127282667274769e+000,7.590594819362195e-011,1.127282667274769e+000
8.474576271186440e-002,1.137234682051073e+000,7.590572614901703e-011,1.137234682051073e+000
1.016949152542373e-001,1.146722243140221e+000,7.590594819362195e-011,1.146722243140221e+000
1.186440677966102e-001,1.155750987500656e+000,7.590639228283180e-011,1.155750987500656e+000
1.355932203389831e-001,1.164326550123278e+000,7.590550410441210e-011,1.164326550123278e+000
1.525423728813559e-001,1.172454566794995e+000,7.590550410441210e-011,1.172454566794995e+000
1.694915254237288e-001,1.180140676742398e+000,7.590572614901703e-011,1.180140676742398e+000
1.864406779661017e-001,1.187390525162474e+000,7.590572614901703e-011,1.187390525162474e+000
2.033898305084746e-001,1.194209765647104e+000,7.590550410441210e-011,1.194209765647104e+000
2.203389830508475e-001,1.200604062454284e+000,7.590617023822688e-011,1.200604062454284e+000
2.372881355932204e-001,1.206579092898271e+000,7.590528205980718e-011,1.206579092898271e+000
2.542372881355933e-001,1.212140549343149e+000,7.590594819362195e-011,1.212140549343149e+000
2.711864406779662e-001,1.217294141309420e+000,7.590550410441210e-011,1.217294141309420e+000
2.881355932203391e-001,1.222045597468305e+000,7.590594819362195e-011,1.222045597468305e+000
3.050847457627119e-001,1.226400667563560e+000,7.590550410441210e-011,1.226400667563560e+000
3.220338983050848e-001,1.230365124268697e+000,7.590572614901703e-011,1.230365124268697e+000
3.389830508474577e-001,1.233944764997917e+000,7.590617023822688e-011,1.233944764997917e+000
3.559322033898306e-001,1.237145413655332e+000,7.590572614901703e-011,1.237145413655332e+000
3.728813559322035e-001,1.239972922346468e+000,7.590594819362195e-011,1.239972922346468e+000
3.898305084745764e-001,1.242433173053314e+000,7.590572614901703e-011,1.242433173053314e+000
4.067796610169493e-001,1.244532079324099e+000,7.590572614901703e-011,1.244532079324099e+000
4.237288135593222e-001,1.246275587768127e+000,7.590617023822688e-011,1.246275587768127e+000
4.406779661016951e-001,1.247669679759991e+000,7.590528205980718e-011,1.247669679759991e+000
4.576271186440680e-001,1.248720373028145e+000,7.590594819362195e-011,1.248720373028145e+000
4.745762711864409e-001,1.249433723233051e+000,7.590572614901703e-011,1.249433723233051e+000
4.915254237288138e-001,1.249815825565283e+000,7.590594819362195e-011,1.249815825565283e+000
5.084745762711866e-001,1.249872816357448e+000,7.590550410441210e-011,1.249872816357448e+000
5.254237288135595e-001,1.249610874718378e+000,7.590594819362195e-011,1.249610874718378e+000
5.423728813559323e-001,1.249036224198606e+000,7.590594819362195e-011,1.249036224198606e+000
5.593220338983052e-001,1.248155134496532e+000,7.590572614901703e-011,1.248155134496532e+000
5.762711864406780e-001,1.246973923215407e+000,7.590617023822688e-011,1.246973923215407e+000
5.932203389830508e-001,1.245499046367316e+000,7.590550410441210e-011,1.245499046367316e+000
6.101694915254237e-001,1.243736747518871e+000,7.590617023822688e-011,1.243736747518871e+000
6.271186440677965e-001,1.241693585718783e+000,7.590550410441210e-011,1.241693585718783e+000
6.440677966101693e-001,1.239376089161318e+000,7.590594819362195e-011,1.239376089161318e+000
6.610169491525422e-001,1.236790843892772e+000,7.590550410441210e-011,1.236790843892772e+000
6.779661016949150e-001,1.233944496125564e+000,7.590550410441210e-011,1.233944496125564e+000
6.949152542372878e-001,1.230843754696113e+000,7.590594819362195e-011,1.230843754696113e+000
7.118644067796607e-001,1.227495393684295e+000,7.590550410441210e-011,1.227495393684295e+000
7.288135593220335e-001,1.223906255213678e+000,7.590594819362195e-011,1.223906255213678e+000
7.457627118644064e-001,1.220083257314104e+000,7.590594819362195e-011,1.220083257314104e+000
7.627118644067792e-001,1.216033389739395e+000,7.590639228283180e-011,1.216033389739395e+000
7.796610169491520e-001,1.211763712183097e+000,7.590639228283180e-011,1.211763712183097e+000
7.966101694915249e-001,1.207281370303362e+000,7.590550410441210e-011,1.207281370303362e+000
8.135593220338977e-001,1.202593596508918e+000,7.590594819362195e-011,1.202593596508918e+000
8.305084745762705e-001,1.197707713164563e+000,7.590683637204165e-011,1.197707713164563e+000
8.474576271186434e-001,1.192631137363441e+000,7.590639228283180e-011,1.192631137363441e+000
8.644067796610162e-001,1.187371386112671e+000,7.590594819362195e-011,1.187371386112671e+000
8.813559322033890e-001,1.181935854602018e+000,7.590594819362195e-011,1.181935854602018e+000
8.983050847457619e-001,1.176332712449312e+000,7.590594819362195e-011,1.176332712449312e+000
9.152542372881347e-001,1.170569603331550e+000,7.590594819362195e-011,1.170569603331550e+000
9.322033898305075e-001,1.164654505799938e+000,7.590683637204165e-011,1.164654505799938e+000
9.491525423728804e-001,1.158595532285471e+000,7.590594819362195e-011,1.158595532285471e+000
9.661016949152532e-001,1.152400937907106e+000,7.590550410441210e-011,1.152400937907106e+000
9.830508474576261e-001,1.146079130132942e+000,7.590550410441210e-011,1.146079130132942e+000
9.999999999999989e-001,1.139638679387170e+000,7.590728046125150e-011,1.139638679387170e+000
