Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.082717097548152e+000,-3.774758283725532e-015,1.082717097548152e+000
2.040816326530612e-002,1.096945111963893e+000,1.920872350069658e-010,1.096945111963893e+000
4.081632653061224e-002,1.110468630246534e+000,1.921032222185204e-010,1.110468630246534e+000
6.122448979591837e-002,1.123297551462245e+000,1.921030001739155e-010,1.123297551462245e+000
8.163265306122448e-002,1.135441747308067e+000,1.921032222185204e-010,1.135441747308067e+000
1.020408163265306e-001,1.146911070346571e+000,1.921034442631253e-010,1.146911070346571e+000
1.224489795918367e-001,1.157715361760269e+000,1.921034442631253e-010,1.157715361760269e+000
1.428571428571429e-001,1.167864458696620e+000,1.921030001739155e-010,1.167864458696620e+000
1.632653061224490e-001,1.177368201226495e+000,1.921032222185204e-010,1.177368201226495e+000
1.836734693877551e-001,1.186236438941482e+000,1.921034442631253e-010,1.186236438941482e+000
2.040816326530612e-001,1.194479037215796e+000,1.921034442631253e-010,1.194479037215796e+000
2.244897959183673e-001,1.202105883089583e+000,1.921030001739155e-010,1.202105883089583e+000
2.448979591836734e-001,1.209126891136262e+000,1.921023340401007e-010,1.209126891136262e+000
2.653061224489796e-001,1.215552008660549e+000,1.921036663077302e-010,1.215552008660549e+000
2.857142857142857e-001,1.221391220921650e+000,1.921027781293105e-010,1.221391220921650e+000
3.061224489795918e-001,1.226654556076168e+000,1.921025560847056e-010,1.226654556076168e+000
3.265306122448980e-001,1.231352089920082e+000,1.921030001739155e-010,1.231352089920082e+000
3.469387755102041e-001,1.235493950471338e+000,1.921034442631253e-010,1.235493950471338e+000
3.673469387755103e-001,1.239090322384432e+000,1.921030001739155e-010,1.239090322384432e+000
3.877551020408164e-001,1.242151451248426e+000,1.921034442631253e-010,1.242151451248426e+000
4.081632653061226e-001,1.244687647831332e+000,1.921025560847056e-010,1.244687647831332e+000
4.285714285714287e-001,1.246709292061315e+000,1.921027781293105e-010,1.246709292061315e+000
4.489795918367349e-001,1.248226837183192e+000,1.921030001739155e-010,1.248226837183192e+000
4.693877551020410e-001,1.249250813803969e+000,1.921030001739155e-010,1.249250813803969e+000
4.897959183673472e-001,1.249791833906337e+000,1.921025560847056e-010,1.249791833906337e+000
5.102040816326533e-001,1.249860594913504e+000,1.921036663077302e-010,1.249860594913504e+000
5.306122448979594e-001,1.249467883814033e+000,1.921034442631253e-010,1.249467883814033e+000
5.510204081632656e-001,1.248624581379251e+000,1.921027781293105e-010,1.248624581379251e+000
5.714285714285717e-001,1.247341666508000e+000,1.921032222185204e-010,1.247341666508000e+000
5.918367346938779e-001,1.245630220736085e+000,1.921025560847056e-010,1.245630220736085e+000
6.122448979591840e-001,1.243501523865795e+000,1.921032222185204e-010,1.243501523865795e+000
6.326530612244902e-001,1.240966697418781e+000,1.921032222185204e-010,1.240966697418781e+000
6.530612244897963e-001,1.238037248680260e+000,1.921030001739155e-010,1.238037248680260e+000
6.734693877551025e-001,1.234724719600906e+000,1.921032222185204e-010,1.234724719600906e+000
6.938775510204086e-001,1.231040781323481e+000,1.921034442631253e-010,1.231040781323481e+000
7.142857142857148e-001,1.226997240661188e+000,1.921030001739155e-010,1.226997240661188e+000
7.346938775510209e-001,1.222606047133542e+000,1.921027781293105e-010,1.222606047133542e+000
7.551020408163270e-001,1.217879311387575e+000,1.921027781293105e-010,1.217879311387575e+000
7.755102040816332e-001,1.212829286403107e+000,1.921027781293105e-010,1.212829286403107e+000
7.959183673469393e-001,1.207468393831350e+000,1.921032222185204e-010,1.207468393831350e+000
8.163265306122455e-001,1.201809237869356e+000,1.921032222185204e-010,1.201809237869356e+000
8.367346938775516e-001,1.195864611464469e+000,1.921036663077302e-010,1.195864611464469e+000
8.571428571428578e-001,1.189647508462981e+000,1.921032222185204e-010,1.189647508462981e+000
8.775510204081639e-001,1.183170913874769e+000,1.921032222185204e-010,1.183170913874769e+000
8.979591836734701e-001,1.176448688215093e+000,1.921032222185204e-010,1.176448688215093e+000
9.183673469387762e-001,1.169494313131986e+000,1.921023340401007e-010,1.169494313131986e+000
9.387755102040823e-001,1.162321736053887e+000,1.921032222185204e-010,1.162321736053887e+000
9.591836734693885e-001,1.154945189217046e+000,1.921027781293105e-010,1.154945189217046e+000
9.795918367346946e-001,1.147379212571695e+000,1.921032222185204e-010,1.147379212571695e+000
1.000000000000001e+000,1.139638679399716e+000,1.921032222185204e-010,1.139638679399716e+000
