Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.082717097548152e+000,-3.774758283725532e-015,1.082717097548152e+000
5.263157894736842e-002,1.117979930591777e+000,2.188511860623521e-008,1.117979930591777e+000
1.052631578947368e-001,1.148660975557269e+000,2.189653725004348e-008,1.148660975557269e+000
1.578947368421053e-001,1.174929237260287e+000,2.189653636186506e-008,1.174929237260287e+000
2.105263157894737e-001,1.196953572205632e+000,2.189653680595427e-008,1.196953572205632e+000
2.631578947368421e-001,1.214903450189213e+000,2.189653702799888e-008,1.214903450189213e+000
3.157894736842105e-001,1.228949619195414e+000,2.189653591777585e-008,1.228949619195414e+000
3.684210526315789e-001,1.239264693793637e+000,2.189653658390967e-008,1.239264693793637e+000
4.210526315789474e-001,1.246023686108381e+000,2.189653636186506e-008,1.246023686108381e+000
4.736842105263158e-001,1.249404495576332e+000,2.189653658390967e-008,1.249404495576332e+000
5.263157894736842e-001,1.249588376666271e+000,2.189653702799888e-008,1.249588376666271e+000
5.789473684210527e-001,1.246760404388815e+000,2.189653636186506e-008,1.246760404388815e+000
6.315789473684210e-001,1.241110052976083e+000,2.189653702799888e-008,1.241110052976083e+000
6.842105263157894e-001,1.232831361526448e+000,2.189653725004348e-008,1.232831361526448e+000
7.368421052631577e-001,1.222124090688664e+000,2.189653613982046e-008,1.222124090688664e+000
7.894736842105261e-001,1.209194134770925e+000,2.189653702799888e-008,1.209194134770925e+000
8.421052631578945e-001,1.194254417753653e+000,2.189653613982046e-008,1.194254417753653e+000
8.947368421052628e-001,1.177525883661892e+000,2.189653658390967e-008,1.177525883661892e+000
9.473684210526312e-001,1.159239853071969e+000,2.189653747208809e-008,1.159239853071969e+000
9.999999999999996e-001,1.139638681983111e+000,2.189653658390967e-008,1.139638681983111e+000
