Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
  0.000000000000000e+00,  1.063306505443364e+00, -1.850052688823212e-08,  1.063306505443364e+00
  2.564102564102564e-02,  1.080489629294715e+00,  6.011706688013874e-10,  1.080489629294715e+00
  5.128205128205128e-02,  1.096585797775321e+00,  6.013864961573745e-10,  1.096585797775321e+00
  7.692307692307693e-02,  1.111614060988023e+00,  6.013869402465843e-10,  1.111614060988023e+00
  1.025641025641026e-01,  1.125593487513042e+00,  6.013867182019794e-10,  1.125593487513042e+00
  1.282051282051282e-01,  1.138543113288842e+00,  6.013864961573745e-10,  1.138543113288842e+00
  1.538461538461539e-01,  1.150481963929282e+00,  6.013867182019794e-10,  1.150481963929282e+00
  1.794871794871795e-01,  1.161429075525900e+00,  6.013869402465843e-10,  1.161429075525900e+00
  2.051282051282051e-01,  1.171403514080959e+00,  6.013867182019794e-10,  1.171403514080959e+00
  2.307692307692308e-01,  1.180424393643793e+00,  6.013869402465843e-10,  1.180424393643793e+00
  2.564102564102564e-01,  1.188510893391403e+00,  6.013867182019794e-10,  1.188510893391403e+00
  2.820512820512820e-01,  1.195682273653113e+00,  6.013864961573745e-10,  1.195682273653113e+00
  3.076923076923077e-01,  1.201957890857752e+00,  6.013867182019794e-10,  1.201957890857752e+00
  3.333333333333333e-01,  1.207357211825300e+00,  6.013862741127696e-10,  1.207357211825300e+00
  3.589743589743590e-01,  1.211899827286139e+00,  6.013867182019794e-10,  1.211899827286139e+00
  3.846153846153846e-01,  1.215605464791329e+00,  6.013864961573745e-10,  1.215605464791329e+00
  4.102564102564102e-01,  1.218494001126063e+00,  6.013867182019794e-10,  1.218494001126063e+00
  4.358974358974359e-01,  1.220585474360726e+00,  6.013869402465843e-10,  1.220585474360726e+00
  4.615384615384616e-01,  1.221900095561456e+00,  6.013867182019794e-10,  1.221900095561456e+00
  4.871794871794872e-01,  1.222458260327613e+00,  6.013864961573745e-10,  1.222458260327613e+00
  5.128205128205128e-01,  1.222280560483867e+00,  6.013869402465843e-10,  1.222280560483867e+00
  5.384615384615384e-01,  1.221387795709071e+00,  6.013871622911893e-10,  1.221387795709071e+00
  5.641025641025641e-01,  1.219801061256633e+00,  6.013864961573745e-10,  1.219801061256633e+00
  5.897435897435898e-01,  1.217541460350503e+00,  6.013864961573745e-10,  1.217541460350503e+00
  6.153846153846154e-01,  1.214630561938934e+00,  6.013871622911893e-10,  1.214630561938934e+00
  6.410256410256411e-01,  1.211090121510682e+00,  6.013867182019794e-10,  1.211090121510682e+00
  6.666666666666666e-01,  1.206942168058659e+00,  6.013862741127696e-10,  1.206942168058659e+00
  6.923076923076923e-01,  1.202209020006901e+00,  6.013869402465843e-10,  1.202209020006901e+00
  7.179487179487180e-01,  1.196913302621953e+00,  6.013860520681646e-10,  1.196913302621953e+00
  7.435897435897436e-01,  1.191077967204274e+00,  6.013864961573745e-10,  1.191077967204274e+00
  7.692307692307693e-01,  1.184726322478140e+00,  6.013864961573745e-10,  1.184726322478140e+00
  7.948717948717948e-01,  1.177882036216704e+00,  6.013869402465843e-10,  1.177882036216704e+00
  8.205128205128205e-01,  1.170569169379674e+00,  6.013864961573745e-10,  1.170569169379674e+00
  8.461538461538461e-01,  1.162812218149083e+00,  6.013864961573745e-10,  1.162812218149083e+00
  8.717948717948718e-01,  1.154636140881699e+00,  6.013869402465843e-10,  1.154636140881699e+00
  8.974358974358975e-01,  1.146066396912210e+00,  6.013864961573745e-10,  1.146066396912210e+00
  9.230769230769231e-01,  1.137128759130515e+00,  6.013869402465843e-10,  1.137128759130515e+00
  9.487179487179487e-01,  1.127850262603822e+00,  6.013869402465843e-10,  1.127850262603822e+00
  9.743589743589743e-01,  1.118257957075706e+00,  6.013869402465843e-10,  1.118257957075706e+00
  1.000000000000000e+00,  1.108379818471368e+00,  6.013869402465843e-10,  1.108379818471368e+00
