Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
  0.000000000000000e+00,  9.999999999998218e-01, -1.850052688823212e-08,  9.999999999998219e-01
  2.564102564102564e-02,  1.010525270545175e+00,  6.011706688013874e-10,  1.010525270545175e+00
  5.128205128205128e-02,  1.024668106953808e+00,  6.013864961573745e-10,  1.024668106953808e+00
  7.692307692307693e-02,  1.037815027485270e+00,  6.013869402465843e-10,  1.037815027485270e+00
  1.025641025641026e-01,  1.049983402452638e+00,  6.013867182019794e-10,  1.049983402452638e+00
  1.282051282051282e-01,  1.061190570171911e+00,  6.013864961573745e-10,  1.061190570171911e+00
  1.538461538461539e-01,  1.071453856392890e+00,  6.013867182019794e-10,  1.071453856392890e+00
  1.794871794871795e-01,  1.080790592288397e+00,  6.013869402465843e-10,  1.080790592288397e+00
  2.051282051282051e-01,  1.089218131107794e+00,  6.013867182019794e-10,  1.089218131107794e+00
  2.307692307692308e-01,  1.096753863595519e+00,  6.013869402465843e-10,  1.096753863595519e+00
  2.564102564102564e-01,  1.103415232270770e+00,  6.013867182019794e-10,  1.103415232270770e+00
  2.820512820512820e-01,  1.109219744660406e+00,  6.013864961573745e-10,  1.109219744660406e+00
  3.076923076923077e-01,  1.114184985523610e+00,  6.013867182019794e-10,  1.114184985523610e+00
  3.333333333333333e-01,  1.118328628403236e+00,  6.013862741127696e-10,  1.118328628403236e+00
  3.589743589743590e-01,  1.121668446107532e+00,  6.013867182019794e-10,  1.121668446107532e+00
  3.846153846153846e-01,  1.124222320655387e+00,  6.013864961573745e-10,  1.124222320655387e+00
  4.102564102564102e-01,  1.126008252581255e+00,  6.013867182019794e-10,  1.126008252581255e+00
  4.358974358974359e-01,  1.127044369698680e+00,  6.013869402465843e-10,  1.127044369698680e+00
  4.615384615384616e-01,  1.127348993874927e+00,  6.013867182019794e-10,  1.127348993874927e+00
  4.871794871794872e-01,  1.126940412956503e+00,  6.013864961573745e-10,  1.126940412956503e+00
  5.128205128205128e-01,  1.125837246043794e+00,  6.013869402465843e-10,  1.125837246043794e+00
  5.384615384615384e-01,  1.124058210105158e+00,  6.013871622911893e-10,  1.124058210105158e+00
  5.641025641025641e-01,  1.121622188335495e+00,  6.013864961573745e-10,  1.121622188335495e+00
  5.897435897435898e-01,  1.118548241017854e+00,  6.013864961573745e-10,  1.118548241017854e+00
  6.153846153846154e-01,  1.114855603243164e+00,  6.013871622911893e-10,  1.114855603243164e+00
  6.410256410256411e-01,  1.110563702145489e+00,  6.013867182019794e-10,  1.110563702145489e+00
  6.666666666666666e-01,  1.105692163143909e+00,  6.013862741127696e-10,  1.105692163143909e+00
  6.923076923076923e-01,  1.100260818358236e+00,  6.013869402465843e-10,  1.100260818358236e+00
  7.179487179487180e-01,  1.094289716334839e+00,  6.013860520681646e-10,  1.094289716334839e+00
  7.435897435897436e-01,  1.087799132721526e+00,  6.013864961573745e-10,  1.087799132721526e+00
  7.692307692307693e-01,  1.080809582794459e+00,  6.013864961573745e-10,  1.080809582794459e+00
  7.948717948717948e-01,  1.073341839783394e+00,  6.013869402465843e-10,  1.073341839783394e+00
  8.205128205128205e-01,  1.065416934153493e+00,  6.013864961573745e-10,  1.065416934153493e+00
  8.461538461538461e-01,  1.057056182058549e+00,  6.013864961573745e-10,  1.057056182058549e+00
  8.717948717948718e-01,  1.048281203867818e+00,  6.013869402465843e-10,  1.048281203867818e+00
  8.974358974358975e-01,  1.039113946540467e+00,  6.013864961573745e-10,  1.039113946540467e+00
  9.230769230769231e-01,  1.029576707887023e+00,  6.013869402465843e-10,  1.029576707887023e+00
  9.487179487179487e-01,  1.019692165730370e+00,  6.013869402465843e-10,  1.019692165730370e+00
  9.743589743589743e-01,  1.009483411609577e+00,  6.013869402465843e-10,  1.009483411609577e+00
  1.000000000000000e+00,  9.999999999999999e-01,  6.013869402465843e-10,  9.999999999999998e-01
