Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.063306430291721e+000,-3.774758283725532e-015,1.063306430291721e+000
2.564102564102564e-002,1.080489629294149e+000,6.013127773485394e-010,1.080489629294149e+000
5.128205128205128e-002,1.096585797775321e+000,6.013869402465844e-010,1.096585797775321e+000
7.692307692307693e-002,1.111614060988021e+000,6.013862741127696e-010,1.111614060988021e+000
1.025641025641026e-001,1.125593487513044e+000,6.013867182019794e-010,1.125593487513044e+000
1.282051282051282e-001,1.138543113288841e+000,6.013873843357942e-010,1.138543113288841e+000
1.538461538461538e-001,1.150481963929278e+000,6.013869402465844e-010,1.150481963929278e+000
1.794871794871795e-001,1.161429075525901e+000,6.013864961573745e-010,1.161429075525901e+000
2.051282051282051e-001,1.171403514080959e+000,6.013869402465844e-010,1.171403514080959e+000
2.307692307692307e-001,1.180424393643790e+000,6.013869402465844e-010,1.180424393643790e+000
2.564102564102564e-001,1.188510893391401e+000,6.013871622911893e-010,1.188510893391401e+000
2.820512820512821e-001,1.195682273653117e+000,6.013864961573745e-010,1.195682273653117e+000
3.076923076923077e-001,1.201957890857752e+000,6.013862741127696e-010,1.201957890857752e+000
3.333333333333334e-001,1.207357211825300e+000,6.013862741127696e-010,1.207357211825300e+000
3.589743589743590e-001,1.211899827286138e+000,6.013858300235597e-010,1.211899827286138e+000
3.846153846153847e-001,1.215605464791328e+000,6.013864961573745e-010,1.215605464791328e+000
4.102564102564104e-001,1.218494001126064e+000,6.013864961573745e-010,1.218494001126064e+000
4.358974358974360e-001,1.220585474360727e+000,6.013864961573745e-010,1.220585474360727e+000
4.615384615384617e-001,1.221900095561457e+000,6.013869402465844e-010,1.221900095561457e+000
4.871794871794873e-001,1.222458260327609e+000,6.013871622911893e-010,1.222458260327609e+000
5.128205128205130e-001,1.222280560483866e+000,6.013871622911893e-010,1.222280560483866e+000
5.384615384615387e-001,1.221387795709068e+000,6.013862741127696e-010,1.221387795709068e+000
5.641025641025643e-001,1.219801061256631e+000,6.013862741127696e-010,1.219801061256631e+000
5.897435897435900e-001,1.217541460350505e+000,6.013871622911893e-010,1.217541460350505e+000
6.153846153846156e-001,1.214630561938937e+000,6.013873843357942e-010,1.214630561938937e+000
6.410256410256413e-001,1.211090121510678e+000,6.013873843357942e-010,1.211090121510678e+000
6.666666666666670e-001,1.206942168058655e+000,6.013867182019794e-010,1.206942168058655e+000
6.923076923076926e-001,1.202209020006903e+000,6.013867182019794e-010,1.202209020006903e+000
7.179487179487183e-001,1.196913302621955e+000,6.013864961573745e-010,1.196913302621955e+000
7.435897435897440e-001,1.191077967204274e+000,6.013864961573745e-010,1.191077967204274e+000
7.692307692307696e-001,1.184726322478140e+000,6.013860520681646e-010,1.184726322478140e+000
7.948717948717953e-001,1.177882036216702e+000,6.013864961573745e-010,1.177882036216702e+000
8.205128205128209e-001,1.170569169379674e+000,6.013869402465844e-010,1.170569169379674e+000
8.461538461538466e-001,1.162812218149081e+000,6.013878284250041e-010,1.162812218149081e+000
8.717948717948723e-001,1.154636140881701e+000,6.013864961573745e-010,1.154636140881701e+000
8.974358974358979e-001,1.146066396912212e+000,6.013869402465844e-010,1.146066396912212e+000
9.230769230769236e-001,1.137128759130516e+000,6.013864961573745e-010,1.137128759130516e+000
9.487179487179492e-001,1.127850262603820e+000,6.013860520681646e-010,1.127850262603820e+000
9.743589743589749e-001,1.118257957075705e+000,6.013864961573745e-010,1.118257957075705e+000
1.000000000000000e+000,1.108379818471363e+000,6.013856079789548e-010,1.108379818471363e+000
